
"PSY 401 /0","01","2344","Ind","","002319","","","","","","","1","0","0","0",""
"PSY 401","02","****","Ind","","002319","","","","Burn, S","","","","","","",""
"PSY 401","03","****","Ind","","002319","","","","Sweatt, L","","","","","","",""
"PSY 401","04","****","Ind","","002319","","","","Estrada, A","","","","","","",""
"PSY 401","05","****","Ind","","002319","","","","Freberg, L","","","","","","",""
"PSY 401","06","****","Ind","","002319","","","","Langner, C","","","","","","",""
"PSY 401","07","****","Ind","","002319","","","","Levi, D","","","","","","",""
"PSY 401","08","****","Ind","","002319","","","","Bennion, K","","","","","","",""
"PSY 401","09","****","Ind","","002319","T","06:10 PM","08:00 PM","Pedrotti, J","021-0236","24","","","","","ICS"
"PSY 401","10","****","Ind","","002319","","","","Williams, A","","","","","","",""
"PSY 401","11","****","Ind","","002319","","","","Ryujin, D","","","","","","",""
"PSY 401","12","****","Ind","","002319","","","","Kaczorowski, J","","","","","","",""
"PSY 401 /0","13","****","Ind","","002319","","","","","","","","","","",""
"PSY 401","14","****","Ind","","002319","","","","Bettergarcia, J","","","","","","",""
"PSY 401","15","****","Ind","","002319","","","","Cacciamani, L","","","","","","",""
"PSY 401","16","****","Ind","","002319","","","","Valencia-Laver, D","","","","","","",""
"PSY 401 /0","17","****","Ind","","002319","","","","","","","","","","",""
"PSY 401","18","****","Ind","","002319","","","","Rodgers, J","","","","","","",""
"PSY 401","19","****","Ind","","002319","","","","Bettergarcia, J","","","","","","",""
"PSY 401","20","****","Ind","","002319","","","","Daniels, D","","","","","","",""
"PSY 401","21","****","Ind","","002319","","","","Jipson, J","","","","","","",""
"PSY 401","22","****","Ind","","002319","","","","Jovanovic, J","","","","","","",""
"PSY 401","23","****","Ind","","002319","","","","Lee, L","","","","","","",""
"PSY 401","24","****","Ind","","002319","","","","Smith, T","","","","","","",""
"PSY 401 /0","25","****","Ind","","002319","","","","","","","","","","",""
