
"CPE 233 (1)","01","3549","Lec","","002539","MWF","08:10 AM","09:00 AM","Hummel, P","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","02","3550","Lab","","002539","MWF","09:10 AM","10:00 AM","Hummel, P","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1) /0","03","****","Lec","","002539","MWF","08:10 AM","09:00 AM","","020-0100","16","","","","","ICS"
"CPE 233 (1) /0","04","****","Lab","","002539","MWF","09:10 AM","10:00 AM","","020-0100","16","","","","","ICS"
"CPE 233","05","3553","Lec","","002539","MWF","10:10 AM","11:00 AM","Hummel, P","020-0132","24","28","3","0","0","ICS"
"CPE 233","06","3554","Lab","","002539","MWF","11:10 AM","12:00 PM","Hummel, P","020-0132","24","28","3","0","0","ICS"
"CPE 233 /0","07","****","Lec","","002539","MWF","10:10 AM","11:00 AM","","020-0100","16","","","","","ICS"
"CPE 233 /0","08","****","Lab","","002539","MWF","11:10 AM","12:00 PM","","020-0100","16","","","","","ICS"
"CPE 233","09","5692","Lec","","002539","MWF","02:10 PM","03:00 PM","Hummel, P","020-0132","24","28","0","0","0","ICS"
"CPE 233","10","5693","Lab","","002539","MWF","03:10 PM","04:00 PM","Hummel, P","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","11","5694","Lec","","002539","TR","08:10 AM","09:30 AM","Benson, B","020-0100","16","28","4","0","0","ICS"
"CPE 233 (1)","12","5695","Lab","","002539","TR","09:40 AM","11:00 AM","Benson, B","020-0100","16","28","4","0","0","ICS"
"CPE 233 (1)","13","3677","Lec","","002539","TR","08:10 AM","09:30 AM","Danowitz, A","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","14","3678","Lab","","002539","TR","09:40 AM","11:00 AM","Danowitz, A","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","15","3679","Lec","","002539","TR","12:10 PM","01:30 PM","Danowitz, A","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","16","3680","Lab","","002539","TR","01:40 PM","03:00 PM","Danowitz, A","020-0132","24","28","0","0","0","ICS"
"CPE 233","17","7708","Lec","","002539","TR","03:10 PM","04:30 PM","Callenes-Sloan, J","020-0132","24","28","2","0","0","ICS"
"CPE 233","18","7709","Lab","","002539","TR","04:40 PM","06:00 PM","Callenes-Sloan, J","020-0132","24","28","2","0","0","ICS"
"CPE 233","19","7710","Lec","","002539","TR","06:10 PM","07:30 PM","Callenes-Sloan, J","020-0132","24","28","0","0","0","ICS"
"CPE 233","20","7711","Lab","","002539","TR","07:40 PM","09:00 PM","Callenes-Sloan, J","020-0132","24","28","0","0","0","ICS"
"CPE 233 (1)","21","8496","Lec","","002539","TR","12:10 PM","01:30 PM","Benson, B","020-0100","16","28","4","0","1","ICS"
"CPE 233 (1)","22","8497","Lab","","002539","TR","01:40 PM","03:00 PM","Benson, B","020-0100","16","28","4","0","1","ICS"
