
"CPE 315","01","****","Lec","","003176","MWF","08:10 AM","09:00 AM","Retz, D","033-0457","36","","","","","ICS"
"CPE 315","02","****","Lab","","003176","MWF","09:10 AM","10:00 AM","Retz, D","014-0303","24","","","","","ICS"
"CPE 315","03","6937","Lec","","003176","MWF","09:10 AM","10:00 AM","Planck, J","020-0139","36","30","0","0","0","ICS"
"CPE 315","04","6938","Lab","","003176","MWF","10:10 AM","11:00 AM","Planck, J","020-0127","16","30","0","0","0","ICS"
"CPE 315","05","8240","Lec","","003176","MWF","12:10 PM","01:00 PM","Planck, J","022-0315","39","30","1","0","0","ICS"
"CPE 315","06","8241","Lab","","003176","MWF","01:10 PM","02:00 PM","Planck, J","020-0127","16","30","1","0","0","ICS"
"CPE 315","07","****","Lec","","003176","MWF","02:10 PM","03:00 PM","Retz, D","014-0250","35","","","","","ICS"
"CPE 315","08","****","Lab","","003176","MWF","03:10 PM","04:00 PM","Retz, D","020-0127","16","","","","","ICS"
"CPE 315","09","8244","Lec","","003176","MWF","02:10 PM","03:00 PM","Seng, J","014-0246","42","30","3","0","0","ICS"
"CPE 315","10","8245","Lab","","003176","MWF","03:10 PM","04:00 PM","Seng, J","014-0302","24","30","3","0","0","ICS"
"CPE 315","11","8246","Lec","","003176","TR","08:10 AM","09:30 AM","Pantoja, M","002-0212","49","30","3","0","0","ICS"
"CPE 315","12","8247","Lab","","003176","TR","09:40 AM","11:00 AM","Pantoja, M","020-0127","16","30","3","0","0","ICS"
"CPE 315","13","8248","Lec","","003176","TR","12:10 PM","01:30 PM","Pantoja, M","186-C202","48","30","0","0","0","ICS"
"CPE 315","14","8249","Lab","","003176","TR","01:40 PM","03:00 PM","Pantoja, M","020-0127","16","30","0","0","0","ICS"
