
"STAT 218 (1)","01","2451","Lec","GEB1","003002","MTWR","12:10 PM","01:00 PM","Schaffner, A","014-0247","35","35","35","0","0","ICS"
"STAT 218 (1)","02","5630","Lec","GEB1","003002","MTWR","01:10 PM","02:00 PM","Schaffner, A","014-0247","35","35","28","0","0","ICS"
"STAT 218","05","5633","Lec","GEB1","003002","MTWR","03:10 PM","04:00 PM","Olenowski, J","010-0126","48","48","18","0","0","ICS"
"STAT 218","06","5634","Lec","GEB1","003002","MTWR","04:10 PM","05:00 PM","Olenowski, J","010-0126","48","48","1","0","0","ICS"
"STAT 218","07","7444","Lec","GEB1","003002","MTWR","05:10 PM","06:00 PM","Olenowski, J","010-0126","48","48","1","0","0","ICS"
"STAT 218 /0","08","8472","Lec","GEB1","003002","","","","","","","0","0","0","0",""
"STAT 218 /0","09","8473","Lec","GEB1","003002","","","","","","","0","0","0","0",""
"STAT 218 /0","10","8474","Lec","GEB1","003002","","","","","","","0","0","0","0",""
"STAT 218 (1)","11","8840","Lec","GEB1","003002","MTWR","12:10 PM","01:00 PM","Smith, H","038-0123","36","36","0","0","0","ICS"
"STAT 218 (1)","12","8842","Lec","GEB1","003002","MTWR","01:10 PM","02:00 PM","Smith, H","038-0123","36","36","0","0","0","ICS"
