
"STAT 461","01","2269","Ind","","","","","","Glanz, H","","","10","0","0","0",""
"STAT 461","02","3194","Ind","","","","","","Carlton, M","","","10","0","0","0",""
"STAT 461","03","3196","Ind","","","","","","Chance, B","","","10","0","0","0",""
"STAT 461","04","3199","Ind","","","","","","Doi, J","","","10","0","0","0",""
"STAT 461","05","3200","Ind","","","","","","Frame, S","","","10","0","0","0",""
"STAT 461","06","4840","Ind","","","","","","Pileggi, S","","","24","0","0","0",""
"STAT 461","07","3205","Ind","","","","","","Lund, U","","","10","0","0","0",""
"STAT 461","08","3206","Ind","","","","","","McGaughey, K","","","10","0","0","0",""
"STAT 461","09","3207","Ind","","","","","","Rein, S","","","10","0","0","0",""
"STAT 461","10","3208","Ind","","","","","","Rossman, A","","","10","0","0","0",""
"STAT 461","11","3209","Ind","","","","","","Roy, S","","","10","0","0","0",""
"STAT 461","12","3211","Ind","","","","","","Schaffner, A","","","10","0","0","0",""
"STAT 461","13","3212","Ind","","","","","","Sklar, J","","","10","0","0","0",""
"STAT 461","14","3213","Ind","","","","","","Smith, H","","","10","0","0","0",""
"STAT 461","15","3214","Ind","","","","","","Walker, J","","","10","0","0","0",""
"STAT 461","16","4049","Ind","","","","","","Ross, K","","","10","0","0","0",""
"STAT 461","17","4051","Ind","","","","","","Hughes, G","","","10","0","0","0",""
"STAT 461","18","4054","Ind","","","","","","Sun, D","","","10","0","0","0",""
"STAT 461","19","4060","Ind","","","","","","Ottesen, R","","","10","0","0","0",""
"STAT 461","20","6127","Ind","","","","","","Bodwin, K","","","10","0","0","0",""
"STAT 461","21","7118","Ind","","","","","","Sabbag, A","","","10","0","0","0",""
"STAT 461","22","7119","Ind","","","","","","Afriyie, P","","","10","0","0","0",""
"STAT 461","23","8677","Ind","","","","","","Grant-Ghanotakis, B","","","10","0","0","0",""
