
"MU 450","01","2063","Ind","","","","","","Hustad, K","","","10","0","0","0",""
"MU 450","02","2064","Ind","","","","","","Bachman, J","","","10","0","0","0",""
"MU 450","03","2065","Ind","","","","","","Goymerac, A","","","10","0","0","0",""
"MU 450","04","2066","Ind","","","","","","Miller, M","","","10","0","0","0",""
"MU 450","05","2067","Ind","","","","","","Duffy, S","","","10","0","0","0",""
"MU 450 /0","06","2068","Ind","","","","","","","","","10","0","0","0",""
"MU 450","07","2069","Ind","","","","","","Spiller, W","","","10","0","0","0",""
"MU 450","08","2070","Ind","","","","","","Albanese, B","","","10","0","0","0",""
"MU 450","09","2071","Ind","","","","","","Waibel, K","","","10","0","0","0",""
"MU 450","10","2072","Ind","","","","","","Severtson, P","","","10","0","0","0",""
"MU 450","11","2073","Ind","","","","","","Spencer, B","","","10","0","0","0",""
"MU 450","12","2074","Ind","","","","","","Woodruff, C","","","10","0","0","0",""
"MU 450","13","2075","Ind","","","","","","Miller, M","","","10","0","0","0",""
"MU 450","14","2076","Ind","","","","","","Astaire, J","","","10","0","0","0",""
"MU 450 /0","15","2077","Ind","","","","","","","","","10","0","0","0",""
"MU 450","16","2078","Ind","","","","","","Butterfield, H","","","10","0","0","0",""
"MU 450 /0","17","2079","Ind","","","","","","","","","10","0","0","0",""
"MU 450","18","2080","Ind","","","","","","Arthur, K","","","10","0","0","0",""
"MU 450","19","2081","Ind","","","","","","Kramer, L","","","10","0","0","0",""
"MU 450","20","2082","Ind","","","","","","Miller, M","","","10","0","0","0",""
"MU 450","21","2083","Ind","","","","","","Galvan, J","","","10","0","0","0",""
"MU 450 /0","22","2084","Ind","","","","","","","","","10","0","0","0",""
"MU 450","23","2085","Ind","","","","","","Russell, C","","","10","0","0","0",""
"MU 450","24","2086","Ind","","","","","","Kreitzer, J","","","15","0","0","0",""
"MU 450","25","2087","Ind","","","","","","Rinzler, P","","","10","0","0","0",""
"MU 450","26","3198","Ind","","","","","","Lanzone, E","","","10","0","0","0",""
"MU 450","27","4357","Ind","","","","","","Becker, D","","","10","0","0","0",""
